ProductID,ProductName,Category,Subcategory,Cost
1,Whatever,Electronics,Not,40.58
2,Husband,Electronics,She,40.58
3,Security,Home,Public,40.58
4,House,Clothing,Minute,40.58
5,Tend,Clothing,Administration,40.58
6,Trial,Clothing,Natural,40.58
7,Kid,Electronics,Onto,40.58
8,Ten,Toys,Nothing,40.58
9,Crime,Electronics,College,40.58
10,Side,Toys,Star,40.58
11,Fast,Books,From,40.58
12,Side,Electronics,Choose,40.58
13,Check,Electronics,Owner,40.58
14,Above,Electronics,Court,40.58
15,Career,Clothing,Issue,40.58
16,Commercial,Clothing,Toward,40.58
17,Amount,Toys,Improve,40.58
18,Allow,Toys,Design,40.58
19,Defense,Electronics,Recently,40.58
20,Mouth,Toys,Law,40.58
21,Develop,Clothing,Gas,40.58
22,Staff,Toys,Way,40.58
23,Be,Books,Camera,40.58
24,Find,Clothing,Recently,40.58
25,Article,Books,Charge,40.58
26,Identify,Toys,Speak,40.58
27,Lawyer,Home,Occur,40.58
28,Site,Electronics,Fire,40.58
29,Only,Clothing,Role,40.58
30,Detail,Books,Machine,40.58
31,So,Home,Sing,40.58
32,Economic,Home,All,40.58
33,These,Clothing,Hear,40.58
34,Computer,Clothing,Nothing,40.58
35,Finish,Home,White,40.58
36,Carry,Electronics,Prove,40.58
37,Be,Electronics,Deal,40.58
38,Deal,Books,Table,40.58
39,Not,Electronics,Write,40.58
40,Contain,Home,There,40.58
41,Already,Home,Put,40.58
42,Participant,Toys,Eat,40.58
43,Two,Home,Officer,40.58
44,Still,Electronics,Value,40.58
45,Way,Books,Out,40.58
46,Take,Toys,Worker,40.58
47,Born,Electronics,Behavior,40.58
48,Window,Books,Should,40.58
49,Expect,Electronics,Guess,40.58
50,Meet,Toys,Huge,40.58
51,About,Home,Occur,40.58
52,Dream,Toys,Deep,40.58
53,Fine,Home,Floor,40.58
54,Professor,Toys,Determine,40.58
55,Class,Clothing,Mouth,40.58
56,Young,Electronics,Range,40.58
57,Huge,Electronics,Majority,40.58
58,Away,Clothing,Discuss,40.58
59,Hold,Home,Possible,40.58
60,Both,Electronics,Term,40.58
61,Benefit,Clothing,Receive,40.58
62,Kid,Electronics,Performance,40.58
63,Peace,Books,Let,40.58
64,Everything,Home,Forward,40.58
65,Situation,Books,Walk,40.58
66,Region,Home,College,40.58
67,Task,Clothing,Charge,40.58
68,Movie,Home,Responsibility,40.58
69,Medical,Home,Power,40.58
70,Story,Clothing,Serious,40.58
71,Property,Home,Far,40.58
72,People,Electronics,Audience,40.58
73,Item,Toys,Probably,40.58
74,Argue,Clothing,Smile,40.58
75,Either,Toys,Between,40.58
76,Discuss,Clothing,Simple,40.58
77,Leader,Clothing,Technology,40.58
78,Prove,Books,Husband,40.58
79,Anyone,Books,Against,40.58
80,Sell,Home,Spend,40.58
81,Suddenly,Toys,Reveal,40.58
82,Bill,Clothing,Operation,40.58
83,Maybe,Home,All,40.58
84,Reflect,Electronics,Education,40.58
85,Look,Clothing,Decision,40.58
86,Laugh,Electronics,Test,40.58
87,Consider,Home,Environmental,40.58
88,Main,Books,Mr,40.58
89,Strategy,Home,Information,40.58
90,Line,Electronics,Old,40.58
91,Response,Clothing,Parent,40.58
92,Enjoy,Toys,Party,40.58
93,List,Home,Probably,40.58
94,Support,Clothing,Scene,40.58
95,Focus,Books,Happy,40.58
96,Too,Books,Clear,40.58
97,There,Books,Most,40.58
98,Situation,Clothing,Fill,40.58
99,Front,Home,Reveal,40.58
100,First,Clothing,Majority,40.58
