SaleID,Date,ProductID,StoreID,CustomerID,Quantity,UnitPrice,Discount
1,2024-05-10,86,26,553,2,110.3,0.06
2,2024-12-31,23,14,998,3,110.3,0.06
3,2024-11-10,64,39,282,3,110.3,0.06
4,2022-05-02,67,40,562,2,110.3,0.06
5,2023-04-12,40,1,258,3,110.3,0.06
6,2022-11-27,10,4,823,3,110.3,0.06
7,2022-03-29,89,30,360,3,110.3,0.06
8,2024-05-21,52,12,440,3,110.3,0.06
9,2022-05-11,72,35,270,4,110.3,0.06
10,2024-02-09,75,13,134,2,110.3,0.06
11,2022-12-10,61,31,746,4,110.3,0.06
12,2024-03-16,64,38,640,4,110.3,0.06
13,2023-01-21,5,43,104,1,110.3,0.06
14,2024-08-13,53,23,766,4,110.3,0.06
15,2022-10-04,55,4,95,4,110.3,0.06
16,2023-04-05,37,16,849,1,110.3,0.06
17,2022-01-22,56,7,729,3,110.3,0.06
18,2022-09-10,59,22,573,3,110.3,0.06
19,2024-01-18,93,29,480,4,110.3,0.06
20,2024-05-06,69,11,780,1,110.3,0.06
21,2023-04-20,73,33,241,3,110.3,0.06
22,2024-12-18,59,29,13,1,110.3,0.06
23,2023-05-26,2,39,147,2,110.3,0.06
24,2023-12-01,65,12,940,2,110.3,0.06
25,2024-09-02,60,7,752,2,110.3,0.06
26,2022-07-09,51,39,601,2,110.3,0.06
27,2024-08-15,30,42,95,4,110.3,0.06
28,2023-11-18,11,48,827,2,110.3,0.06
29,2024-08-15,92,26,293,2,110.3,0.06
30,2023-07-17,76,40,25,1,110.3,0.06
31,2024-04-11,39,9,272,3,110.3,0.06
32,2023-10-09,90,41,505,1,110.3,0.06
33,2022-01-21,77,34,166,4,110.3,0.06
34,2024-04-20,72,45,939,2,110.3,0.06
35,2022-06-16,63,13,762,3,110.3,0.06
36,2023-01-23,64,36,87,3,110.3,0.06
37,2023-08-24,61,25,654,2,110.3,0.06
38,2022-11-12,54,24,646,2,110.3,0.06
39,2022-01-14,92,44,985,4,110.3,0.06
40,2022-08-30,94,17,791,4,110.3,0.06
41,2024-02-16,73,2,638,2,110.3,0.06
42,2023-07-19,95,13,828,2,110.3,0.06
43,2024-06-16,58,31,491,2,110.3,0.06
44,2022-04-02,85,29,908,2,110.3,0.06
45,2024-08-13,56,50,141,3,110.3,0.06
46,2023-05-24,34,28,868,4,110.3,0.06
47,2024-02-15,31,27,103,2,110.3,0.06
48,2022-02-04,52,15,226,2,110.3,0.06
49,2022-07-25,89,31,902,3,110.3,0.06
50,2024-10-22,76,40,575,1,110.3,0.06
51,2024-10-18,1,15,294,2,110.3,0.06
52,2023-07-20,55,33,896,3,110.3,0.06
53,2023-12-04,22,20,306,3,110.3,0.06
54,2023-02-06,40,42,254,1,110.3,0.06
55,2023-12-31,1,12,180,4,110.3,0.06
56,2022-06-11,65,37,40,4,110.3,0.06
57,2022-07-21,63,9,776,4,110.3,0.06
58,2024-09-22,54,23,701,2,110.3,0.06
59,2022-09-27,42,8,520,4,110.3,0.06
60,2024-03-26,21,32,616,2,110.3,0.06
61,2023-04-01,79,48,737,2,110.3,0.06
62,2024-10-13,81,14,546,3,110.3,0.06
63,2022-10-23,22,27,236,4,110.3,0.06
64,2023-12-21,38,25,463,4,110.3,0.06
65,2022-12-04,99,13,228,4,110.3,0.06
66,2024-05-28,80,21,700,2,110.3,0.06
67,2024-12-12,8,45,825,2,110.3,0.06
68,2024-03-02,62,31,483,4,110.3,0.06
69,2022-08-05,47,37,430,2,110.3,0.06
70,2024-02-03,17,48,22,2,110.3,0.06
71,2022-07-07,17,43,343,1,110.3,0.06
72,2023-01-15,90,5,40,1,110.3,0.06
73,2023-05-08,13,13,173,4,110.3,0.06
74,2024-11-30,17,28,439,4,110.3,0.06
